getpwuid_r did not find a match for uid 501
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-07-05 18:17:12.194293+0000 0x1f2ff    Default     0x0                  51941  0    rayforge-app: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-07-05 18:17:12.195117+0000 0x1f307    Default     0x0                  51941  0    rayforge-app: (libxpc.dylib) [com.apple.xpc:connection] [0x105505e50] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-07-05 18:17:12.198759+0000 0x1f307    Default     0x0                  51941  0    rayforge-app: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-07-05 18:17:12.198816+0000 0x1f307    Default     0x0                  51941  0    rayforge-app: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-07-05 18:17:12.198920+0000 0x1f307    Default     0x0                  51941  0    rayforge-app: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600002101360>
2026-07-05 18:17:12.198987+0000 0x1f307    Default     0x0                  51941  0    rayforge-app: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-07-05 18:17:12.199073+0000 0x1f2ff    Default     0x0                  51941  0    rayforge-app: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-07-05 18:17:12.199097+0000 0x1f307    Default     0x0                  51941  0    rayforge-app: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-07-05 18:17:12.199529+0000 0x1f2ff    Default     0x0                  51941  0    rayforge-app: (libxpc.dylib) [com.apple.xpc:connection] [0x105705d60] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-07-05 18:17:12.199746+0000 0x1f307    Default     0x0                  51941  0    rayforge-app: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-07-05 18:17:12.204656+0000 0x1f307    Default     0x0                  51941  0    rayforge-app: (libxpc.dylib) [com.apple.xpc:connection] [0x105706020] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-07-05 18:17:12.205934+0000 0x1f2ff    Default     0x0                  51941  0    rayforge-app: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-07-05 18:17:12.206190+0000 0x1f2ff    Default     0x0                  51941  0    rayforge-app: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
